content,score
"Bagus,....... tapi banyak BUG..!!! GAK BISA NGIRIM VIDIO..!! PAS DAPET WA WA NYA DELAY..!! perbaiki lah whatsApp!",3
bagus,4
Bagus tapi gabisa kalo status orang kan suka ada tanda lika dan tag Aku mah gaada,3
Woi kocak coba hapus fitur tag grup banyak bocah caper soalnya tolong segera hapus,1
"tiba tiba keluar sendiri mau log in lagi gabisa, whatsapp tolong la gimana ini semua chat orng dan grup penting saya ada di akun itu",1
Okay,5
semenjak di update jdi banyak bug gabisa ngirim vidio ke sw atau ke orang lain males jadinya makasi.,1
Whatsap sebentar-sebentar kena spam,1
Oke bgt saya suka.,3
Sangat membantu untuk berkomunikasi,5
Karena saya tidak bisa masuk ke dalam nya,1
Kecilin ukuran nya setelah instal jadi 600 an mb,1
Nomor kontak tdk muncul,5
sangat baguss,5
Aplikasi whatsap tidak bisa di download,5
apasih ini aplikasi saya tidak melakukan spam! tapi selalu di ban saya salah apa?,2
"Bikin SW burik bgt tolong perbaiki gaperlu di kompres berlebihan, vidio atau foto sampai tak terbaca tulisannya,l",1
Ai nya kurang banget dari chatgbt sama grok,5
Sangat baik,5
Bagus,5
Makin kesini makin ga jelas,2
"TOLONG WHATSAPP INI KENAPA YA KO GABISA DI UPDATE YA SAYA JUGA MAU COBA FITUR BARU MASA UDH SAYA COBA BERKALI KALI GABISA, MOHON DI MENGERTI KRITIKAN DRI SAYA TERIMAKASI",1
wa emang lagi error kah?,3
Setelah di update foto profil nya malah ilang... Aneh...,2
Mantap,5
Gimana ini aneh banget si JD males aku,1
Oke,5
Bisa belanja cod,5
Ok,5
Washatp emang aplikasih sanga5 penting ok thanks,5
Burik kualitas foto dan video,2
Good,3
Ok,5
Bagus,5
Sangat baik,5
Ayok kembangin lagi apk.nya.. bikin status wa biar bisa jadi 4k wkkwkwk,4
tidak bisa di download,1
Kenapa wa saya tidak bisa centang biru padahal pengaturanya sudah laporan di baca. Tolong dong jelasin. Apa ada yg sama. ???? Tapi klo kirim pesan ke nomer sendiri ya centang biru.,1
Cara buka watsap lama,5
Buset dah punya gua tbtb keluar sendiri dari wa mana gak bisa log in lagi 🙂🙂,1
Luwar biasa,4
Keren bagus tapi tidak bisa nambah wa orang lain,5
sangat bermanfaat,5
Tambahin fitur komen di sw,5
Sekarang menggunakan. Algorithm Sehingga banyak status baru dari teman2 yg lainya tidak melihat..,3
"Hadeuh ngebug melulu belakangan ini, keluar keluar sendiri",1
"Aplikasi bagus,tapi knpa ya kena spam",5
Mantaap,5
"Fitur telat Mulu,yg lain udah dapet masa gw belum harus nunggu dulu lama lagi nunggu nya",3
Kenapa tidak bisa terdownload aplikasi whatsapp nya,1
"HEYY, BERIKAN TEMAN SAYA UPDATE META AI, DAN BERIKAN KAMI FITUR UNTUK SHARE AUDIO DI CHANNEL + KENAPA STIKER SYA PENDING PADAHAL KUOTA LANCAR RAHHHHH🔥🔥🔥",1
"punya saya dh diupdate berkali""gada meta dan buble chat dann tema chat",1
Sangat bagus sekali,5
Top,4
sebenernya sudah bagus semua nya dari segi mana pun tapi tolonglah hilang kan meta kenon spam padahal saya tidak ada pernah membuat pesan spam tolong di lebih perbaikin lagi lah meta kenon spam saya sudah muak liat nya,1
WhatsApp bagus,5
mengecewakan baginda ratu saya,1
Sangat bagus,4
Bagus sekali whatsapp nya,5
Baik,5
Mau di coba nih,5
saya tidak melakukan spam tapi tetap diblokir ya? tolong diperbaiki,3
Good,5
"Mohon kepada WhatsApp tolong perbaiki akun WhatsApp saya yang Terbelokir tiba tiba,mohon bantuannya",4
Saya asal donwlod washadap selalu tidah bisa,4
Kenapa WA sya selalu di SPAM padahal no baru Imel baru tetep di SPAM tolong lahhh,2
Yg Ter baik,5
Mantap,2
"thank youuu WhatsApp 💗💗💗 udah update ^_______^, wa aku sekarang udah bisa pake yank pinkkies ‹3. big thankss :3",5
good,5
"Kok setelah instal ulang wa, chat pesan kok tidak ada suara notifikasinya, jadi tidak tahu kalo ada pesan masuk di android 13",4
Tolong buka blokir akun saya akun saya sangat penting,1
Bagus bnget,3
Sangat membantu kami membutuhkan kembali,5
"Kecewa si, kenapa fitur HD pas up snap diilangin payah lah",1
Ga bisa tag grupp,4
Aku suka,5
Sangat bagus,5
Ok,5
Bisa ngobrol dan berguna untuk saling komunikasi,5
Baik,4
Kenapa aku install GK bisaa,5
bagus,5
"MASA IYA HPE SAYA SUDAH DI UPD, TIDAK ADA FITUR TEMA CHAT NYA, GAJELAS BGT, GIMANA SI INI WA, giliran tmn"" saya sdh pd dpt. pdhal klo diliat hp sy jg bkn hp jadul",1
Aga lemot2,5
riwayat chat tiba tiba hilang semua,2
Bagus,5
Aplikasi ini sangat berguna saya bisa menelepon atau video call sama orang yang rumahnya jauh dari saya❤️,5
efek nya ga muncul punya saya dan sering ngebug tolong tambah kan filter yang lebih bagus lagi🙏🙏,2
"Dengan ada nya wathsap sangat membantu banget, karna sangat mempermudah berkomunikasi",5
Baik,1
WhatsApp nya gabisa,1
Knp akun saya selalu di spam ya,5
"Kenapa sih harus ""akun anda tidak bisa memakai whatsApp karena sedang kena spam"" gimana dong",1
mantap,5
Sangat memudahkan,5
"kenapa saya setiap ganti nomor telpon baru terus daftar wa harus menggunanakan whatsApp resmi, kan saya sudah pake whatsApp resmi download di play store. aneh aneh",1
Semoga ga ada spam lagi,3
Temp at berbisnis,2
sangat membantu,5
Masih dalam pelajari kerena Aplikasi Whatsapp baru di Instal,3
mau tanya kenapa wa saya gbsa dibuat tag,3
Knp whatsapp aq sekring kena span trus langkah selanjutnya gmn........???,5
Telpon sering putus putus meskipun jaringan bagus,5
Aplikasi ini sangat bagus,5
knp klo ngirim foto ke saluran ada tanda '!' warna merah??,4
Lebih nyaman dgn washap skrg,5
Wa eror sudah beberapa hari,1
bagus,5
Wa anjing,1
Semoga aja sih tampilan jam update statusnya gak ngaco lagi,4
ok,5
wa ini gk enak kerana,5
Kenapa susah di download,1
Wa lemot sekali,1
Ok,5
Bagus,5
Kenapa diblok terus menerus alasan akun spam,1
"sorry to say, tapi kenapa tidak ada fitur meta AI di hp ku?",3
Menarik,4
tidak bisa masuk ke aplikasi karena tidak mendapatkan kode otp dari kemarin .jadi sulit untuk masuk.tolong di permudah dong kode otpnya.karna nomor masih aktfi,1
Mantap 👍,1
Nanti aja,4
Sukaa,5
saya tidak dpt rekam suara yang pake nada tinggi tolong apded lgi makasih 🙏,1
Bagus,5
"I like this ,,, semoga lebih bagus dan nyaman video call nya",5
"punya saya belum ada fitur baru nih,orang orang udah ada chat/tema baru punya saya belum",1
"Dengan adanya whatsapp,komunikasi lebih mudah,dan hemat biaya,terima kasih whatsapp.",5
Sangat cocok,5
Kenapa ya sudah di download tapi aplikasi ga muncul,3
Ok,5
"ini kenapa punya aku gaada tema yg baru itu, masi lama bgt nunggunya. padahal punya temen” aku uda pada ganti tema jadi pinky” gitu. ayo wa update in punya aku jga masa tiap update selalu ga kebagian, dari pojok kelas ketemu pojok uda semua dari versi hp yg ga memungkin kan jga uda, masa iya punya aku belum, launching in jga buat aku ih :((",3
Aku,5
Sangat memuaskan,5
Aku suka wa,5
aplikasi membantu untuk akses info,4
"udah bagus setelah di update, tapi ko di bagian saluran nge lag banget ya. suka ga kekirim dan harus bikin saluran baru lagi jadi tolong di perbaiki ya",3
Lumayan,5
wa kalo lagii telpon jangan ada suara tut tut nya bisa ga? semoga paham yaa inii aku kak gem semogaa kmuu pahamm🖐🏻,1
Bos cilok,5
Cara menca mendapat kode pin di watsap yg sudah lupa,5
"apaan coba padahal saya tidak menghapus data atau merisetkan dengan sengaja ,itu tiba tiba ke riset terus mau saya sv sv kontak lagi tpi tidak bisa menyimpan kontak,saat saya sudah klik simpan kontak ada bacaan,""Tidak bisa menyimpan kontak ini"",tapi semua kontak tidak bisa di simpan",1
Sangat membantu,5
Aneh bgt abis update ga bisa vc/telpon🗿🔪😭,4
Login whatsapp,5
Aplikasi sangat bgus,5
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5
semua bagus dan tingkat kan kualitas vidio di story agar lebih bagus,5
kenaph ini WhatsApp kekuci,2
Tolong dibuka Washaf(WA) yang lama dan baru,5
Ok,5
"Aplikasi gjls,gda cw yang ngcht aku satu pun",1
aplikasinya gogobologan,5
Super delll🥶🔥❤️❤️❤️❤️❤️,4
Wa nya sangat bagus sekali saya bangga punya ini,5
Mungkin sip duludeh biar di tanggapin,5
Aku suka luna bosqu. Semiga jaya.,5
Bagus,5
Ok,5
Baik,5
Baguss,5
Agak berat sudah aplikasinya kalau loading,2
"Tidak bisa digunakan di redmi 9a, dengan alasan bukan WhatsApp resmi",1
Sangat mudah di gunskan,5
Ok,5
"Saya kasih bintang 3 dulu ya min, karena WhatsApp saya tidak ada Meta AI nya, kenapa ya saya jadi bingung sendiri, sedangkan teman teman saya ada meta AI nya, tapi saya tidak mempunyai nya.☹️",3
wasap gw sering d spam kenapa ya,1
Ok,1
ketika login pas isi nama keluar dengan sendirinya,1
saya kesal karena tidak ada Meta AI,1
Mantap,5
Perantau,5
Ist the best,5
Tolong kembalikan urutan tampilan story teman sesuai dengan waktunya. Jangan diacak,3
whatsaap memang sip,5
Mantap,5
Oke,4
Ok lah mantul aplikasi bagus ..singkat padat cepat dan jelas..mantap👍👍👍👍👍👍👍,5
Saya sangat suka memakai WhatsApp ini,5
Kenapa WhatsApp tidak dapat dipakai padahal saya sudah mendownloadnya,4
Okey,4
oke,5
"Saya tidak bisa menggunakan efek WhatsApp ketika sedang vc, apak saya blm di update? Tolong bntu",4
Top,4
Mohon di bantu sayah Adah kesalaan apah Sampek WhatsApp sayah ngak bisah sayah gunakan,5
"bikin fitur pemulihan pesan dong, lagi butuh banget ni, plish",4
Mantap,5
Kenapa akun WhatsApp aku kena spam lg,5
Tolong pulih kan wa saya yg di blokir spam,5
👍,5
Keren,5
Mantap,5
Mantap,5
Ok,2
Lebih bagus lagi WA bisa live,5
Sangat bagus,5
Sejuta umat,5
Akun saya gk kena di pakek,5
Sangat baik,4
"menurut sya aplikasi ny bagus,tp ad yg kurng untk sluran whatsapp ny knp pesn ny tdk bsa d rply🙍",4
ingin tau kebenaranya dulu saya beri 3 bintang soalnya uda punya aplikasi whatsapp,5
kalau di call suka ada bug tiba tiba layar hitam pas scroll keatas/mau nyetel apk apapun,1
"Ok, meta ai saya belum keluar",5
Sangat bagus,5
"Saya sdh download Whatsapp ini tapi pas saat mau bikin status malah ngga bisa, terpaksa saya download Whatsapp Bisnis eh sekarang Whatsapp Bisnis saya malah error. Ini gimana si pembuat aplikasinya bisa tolong diperhatiin ngga nyaman bngt pakai aplikasi banyak errornya.",2
"WhatsApp lagi kenapa ya kok di aku gak bisa buat terima dan kirim pesan, terus juga kalau mau hapus foto tulisannya pakai bahasa inggris padahal baru aku update tapi malah jadi jelek aplikasi bukannya tambah bagus",3
Sangat mudah untuk ngobrol,5
Alasannya kena ben apa???,1
Bagus,5
Assalamualaikum pak kenapa saya pasang wallpaper kok jadi besar iya Poto nyaa Terus saya perkecil kok menjadi sebelah tolong di perbaiki lagi iyaa,5
kenapa ga bisa nengok story orang padahal kita ga diblokir dan ga di privat mohon jawaban secepatnya,1
Memudahkan kita,5
Good job,5
Ada apa dgn WhatsApp ku knp gak muncul story smua org,1
"PLIS TOLONG DEH KALO MAU POST VID DI WA JELEK BANGET CUYYYY, KESEMUTAN PARAH",2
Thebest,5
Baik,5
"Tolong diperbaiki dong, kenapa wa ku selalu kena blokir karena spam teruss, padahal saya tidak pernah melakukan pelanggaran",2
sangat baik,5
Sangat baik,5
watsap adalah alat komunikasi yg sangat lah berguna bagi saya... dan saya bisa menghubungi orang yang jarak nya jauh terimakasih watsap 😁😁😁,5
bekerja sebagai mandor bangunan,3
Ok,5
"makin kesini makin jelek apk nya, masa teleponan aja mati mati trs ga jelass",2
"ini lgi eror kah masa setiap ada pesan gk muncul, tiba² udh 2 jam yg lalu aja gimana iniii, pusing deh, dikira pesan gk di balas eh rupanya aku yg gk balas pesan karna gk muncul",3
kenapaa Whatsap saya selalu eror yaa,2
assalamualaikum admin whatsaap yang terhormat. Saya memohon buka kembali akun saya karena saya tidak melakukan spam. Saat ini kemungkinan akun whatsaap saya sedang di retas oleh orang yang tidak bertanggung jawab dan melakukan pelanggaran. Saya mohon untuk buka kembali karena sangat penting. Terimakasih,2
Paling males kalau update nya lama Sampai 2 jam padahal udh selesai,1
Tolong buka lagih wa sayah,5
Gk bisa di update,3
Mantap,5
Sangat bagus,5
Good mantap👍,5
wa saya error setiap habis buka channel chat nya langsung hilang,2
sy br 5 bintang,5
5🖐️👋,5
Wa masuk aplikasi seperti WATI tanpa ijin pemilik hp. Persoalan nya adalah saya gak paham soal itu.,5
Sangat bagus,5
Good,5
Seorang telah menggunakan akun WhatsApp saya tanpa ijin.mohon dipulihkan kembali,1
Oke,5
"kenapa ada video yg saya save dr gugel ga masuk di wa, harus saya kirim lewat galeri deh",5
"WhatsApp saya kenapa sering ke blor udh 11 kali ganti kartu sya,soal nya saya juga buat bisnis min🙏",1
Sangat baik,5
Satu aj bintanya jelek kli aplikasi nyaaaaaaaaaaaaa,1
wa nya tambahin fitur tarik pesan dong min,5
Sangat bagus,1
"Bug nya duuuh..semoga lekas di atasi,padahal selalu update.",3
Baguslah,5
"kalo setiap nambah kontak pasti ke reset semua kontak lainnya, kan cape di sv ulang satu satu",1
Ok,5
Sangat suka dan memudahkan untuk komunikasi.,5
"Terima kasih. Sangat bermanfaat. Tapi kenapa ya status tidak urut bedasarkan jam yg di posting. Mengacak. Brngkli ada, tips khusus Dev.. Trims",5
Terima kasih,5
"ada bug sepele tapi bikin susah, ketika menggunakan aplikasi dengan durasi lama, stiker dan emoticon tidak bisa digunakan, mohon diperbaiki",1
Tidak bisa di instal,5
Mudahan bisa dibuka lagi akun nya,5
Saya tidak ada update wa,1
"Kenapa ya whatsapp saya kena spam terus udah ganti no tlp masih tetap akun gak bisa di paka , dari apa nya ya harus di seting",2
"saya sangat kecewa dengan bug WhatsApp yang tiba-tiba saya tidak bisa mendownload pesan suara, foto, bahkan file, sehingga saya membackup chat, dan menginstal ulang WhatsApp, dan yap, chat saya tidak bisa di pulihkan padahal saya ingat saya telah membackup sebelumnya, semua data saya telah hilang, saya kecewa dengan WhatsApp",1
Iya,5
Alhamdulilah udah dapat5 bintang,5
GI mna mau beri reting kli wa aj gak kopeten dan sangat berbelit2 dlm memberi layanan ke publik jg menghambat dlm memberi apa yg di kehendaki publik,1
kebanyaksn updet,1
Ok,5
Bgus,5
Bagus,5
Sanggat baguus,5
bgus,4
Suka,1
Pingin yang lebih baik,5
Ok,5
Belakangan ini WA saya sering d spam/blokir.padahal saya tidak pernah sekali pun share/menyebar yg melanggar hukum tapi kenapa wa saya selalu kena spam,1
Mantap,5
Hapussssss ajaaa filterr filterrrr,1
Saya di w a ini senang banyak teman dan tambah persaudaraan dan rekan bisnis,5
whatsapp terus terhenti,1
Wa sering bermasalah. Tiba2 meminta pemulihan chat. Padahal tidak dikeluarkan. Sungguh mencurigakan.,1
Gak dapet dari nomor orang yang bisa kami bantu,5
buatt streakkk oiii kek di tiktok,5
gak bisa download foto vidio vn dll,1
Lumayan bagus sih aku suka sama apilakasih ini bisa cht tan sam kelaura atau pun orng pokok nya ini bagus bgttttttt,5
Cakep dan memudahkan segalanya,5
bagus 🔥,5
Aman aman,3
Sangat membantu,5
Sangat baik,5
bagus sekali,5
"kenapa ya pas mau ngirim video error, kalo uda ke kirim ngga tapi pas mau d kirim atau d liat dulu itu eror, dan itu g bagus banget",1
Sangat biasa saja,5
Wasap kaduwrsa,5
Good,5
Kenapa filter di WA ngak muncul Sebaik nya pihak WA menambahkan fitur agar vc tidak miror di update berikutnya,1
sering eror,3
"Mengapa saya tidak dapat menggunakan akun whatsap ,tolong diperbaiki akun saya",5
Kok wa saya di blokir padahal buat kerja apalagi saya menjadi kurir jadi terganggu .plis kok kena spam terus solusinya padahal buat kepentingan kerja hadeh,1
WA saya kena spam,5
sangat bagus,5
Oke,5
"Your audio chat feature is very annoying in WhatsApp groups, please just get rid of it",1
Saya sangat peduli pake watshap ini,5
Saya akan menggunakan aplikasi wesap dengan sebaik baiknya dan tidak akan melanggar aturan yang ber laku,5
"Saran untuk WA, perbaharui lagi fturny, saya kalo mau memanggil teman2 digrup yg isi ny puluhan orang,harus ng,@ nama mereka 1 1,, capee,,kalo bisa buat seperti FB,,, tinggal ketik sorotan atau semua orang,,, terpanggil semua orang yang ada dlm grup",4
Oakaay,5
Baik,4
Selalu force close di samsung tab s9 setiap mau di pairing,1
"Sebelum di update WA biasa ini bisa 2 walpaper, mode gelap dan terang beda fotonya Setelah diupdate kok mode terang gelapnya gabisa 2 walpaper tetep 1 walpaper Tapi diwa bussiness bisa 2 walpaper dalam 2 mode Kalo bisa di fiks saya hapus komennya",1
aplikasi sangat bagus,5
Eror,2
Ok,5
"Pengalamane nyong aplikasine ngawur ! Aplikasi palsu ya, bro .. ? ! 😂 Jajal verifikasi 2 langkah diaktifna ! Bahasane nyong kowek medok ya ? 😁 Ada login lain malu-maluin !",1
"y,bagus",5
Ok,5
Gabisa update.,1
kenapa story wa ga berurutan kaya dulu lagi jadi bingung,2
Bagus,5
"tidak bisa untuk unduh foto, vidio, voicenote, lihat status, mohon cepat diperbaikii dongg saya kerja makin susah klo kaya ginii.",3
Semoga kedepannya makin ada perbaruan Dan bisa ngedit² latar depan chat WhatsApp ya mimin,5
"mohon bantuannya kenapa saat saya ingin upload story gabisa?,ada tulisan ""wathsapp tidak menanggapi"" itu kenapa ya? mohonn bantuannya pihak wathsapp",2
komonikasi opsional,5
Bagus,4
terbaiklah,5
Semakin bagus😊,5
mantap,5
👍,5
Mantap aplikasi ini,5
Kerja,1
Its oke,5
terbakar,5
Knp nih watsap kok eror gini gk bsa perbaiki dong Kenapa jadi eror gini,1
Sampai sejauh ini aman² aja.,5
Ok,5
Kurang harus nya tidak usah pake paketan,5
mantaf,5
Kenapa ga bisa di instal watsapnya itu gimana min solusinya,1
siada hatima,5
Yg penting heppyy Aja bro,5
aplikasi nya sangat berguna untuk berkomunikasi dengan orang lain,3
oke,5
Kagak bisa wa-nya,1
"bintang 4 karena wa ku gabisa tag grup☹️, tolong dong WhatsApp, masa yang lain nya pada bisa tag grup tpi aku ga bisa",4
Paling top,5
"kamera ngebug, tida bisa di pakai, terkadang juga stiker tida bisa di pencet, sudah terjadi selama 3 hari, saya kira akan kembali seperti biasa di hari kedua ternyata tidak",1
"Saya kasih bintang 4, karena biasa lelet juga Jadi saya liat dulu perkembangannya.",4
"Wa sekarang setiap telponan sekarang sering ""Koneksi tidak stabil"" , jelek banget. Edit: Setelah update terbaru, setiap ada notifikasi dari WA, hp saya langsung terasa berat sekali. Terjadi freeze, itu sangat mengganggu. Problem yang sebelumnya belum diperbaiki, malah ada problem baru. Walaupun saya yakin keluhan saya ini tidak ada dibaca.",1
Menjadi guru suwasts,4
Sangat membantu,5
Baguss wa nya makasih,5
"Tlong kk, aplikasi washp aku gak bisa di donwlod ,solisi ny kk",5
Mengapa saya sering kna spam apa alasany,1
Ok,5
Kode lambat,1
baik👍,5
thanks you,5
knapa WA saya di spam,5
Bagus sekali,5
"untuk aplikasi nya sudah bagus bisa berkomunikasi dengan baik,tetapi selalu ada pemblokiran terhadap akun WhatsApp secara tidak jelas, tolong di perbaiki lagi agar saya bisa selalu menggunakan WhatsApp, Terimakasih",1
kualitas gambar dan video jadi burik tolonggg laaahhh,2
Bagus,3
Klau lagi call trus recconecting auto ketutup callnya,2
Mantap gotub,5
Keren,5
Ok baik,5
"Tolong buka WhatsApp saya,, kenapa Kamu blokir saya",5
Senang,5
Ok,5
"Pas mau masukkin vidio ke sw ( status wa ) kenapa jadi ngga hd ya? Pdhl udah di hd in. Cmn pas masuk sw jadi burem gtu plis perbaiki 🙏🏻. plis mendingan emoji yg dulu, kalo cmn 1 nggak pake bubble nyaa, Usahakan di ganti yh.. 😓🙏🏻",4
Ok,4
"tolong dong, untuk fitur saluran kan bisa kirim gambar foto atau video, tolong, itu bisa di simpan loh, tolong untuk pihak wa, perbaiki sistem nya, agar gambar atau video yang di kirim ke saluran buatan kita, tidak bisa di simpan oleh orang lain, itu kan termasuk privasi",3
Sangat bagus,5
Sangat membantu info jarak jauh,5
Mantap bosku,5
"Sangat mendukung, sangat berguna.",5
Bagus,4
Nice app,5
Punyaku blm bisa update itu knapa?,5
Cok,5
Ga terlalu kewalahan sihh,5
Sangat puas,5
Mntap👍👍👍👍👍🫰,5
Bagus,5
Mantaapp,5
Good,5
"Saya pengguna watsapp merasa sangat menggangu dengan fitur status sekarang saat di kirim video atau foto menjadi blur , sedangkan video atau foto nya itu hd dan jernih , yg lain bagus bagus semuanya cuma di story itu yg kurang, mohon perbaiki min",3
Whatapp luarbiasa mantap,5
Matul betul,5
Tdk sempurna,1
saya sebagai pengguna sangat tidak nyaman karna WhatsApp saya selalu terblokir karna spam padahal saya tidak menyepam siapapun,1
Ok baikk,4
Kenapa whatsap tak bisa di gunakan,5
Oke,5
Kenapa ya wa saya gak bisa buka kamera,5
"Kenapa ga bisa ngirimin apa,,",5
sangat bagus,4
Entah kenapa versinya beda dan malah punya gw kaga ada buble cat,4
Bagus,5
Ok,5
Bagus saja,4
Apk gimana sih baru 5 hari udah kadaluarsa minta updet lagi........,2
Mantap,5
Sangat membantu,5
Sangat sangat suka,5
Fitur sekali liatnya hapus gak?,5
Terbaik,5
"Halo admin WhatsApp,saya mohon buka kembali akun WhatsApp saya karena saya tidak melakukan spam,saat ini kemungkinan akun WhatsApp saya sedang di retas orang tidak bertanggung jawab dan melakukan pelanggaran saya mohon untuk membuka kembali akun saya agar bisa digunakan lagi karena sangat penting terimakasih",1
Bagus banget,5
settingan mkin terintegrasi dg fb & ig,5
gabisa foto,1
Sangat memuaskan dalam segala hal,5
Siipl,5
mesti selalu kena spam jadi WA nya agak ga bisa buat WA cuma nunggu 4 atau 5 udh bisa di pulih kan lagi whatsapp nya,5
Ok,5
bagus banget,5
simple and fast,5
Sangat bagus dan ringan semoga makin bertambah fitur fitur,5
Bagus sekai,4
Sangat Bagus,5
Ok,5
Mantap,5
Baik,3
tambahin apinya dongg biar betah main wa😔😔,4
bagusss,4
Yayan ira,1
"Keren, sangat membantu",5
"ini udah bagus, tapi kenapa ya meta AI saya ngga bisa dibuka? Loadingnya itu lohh yang lamaaaaaaaaaaaaaa, apa HP saya aja yang gini??",5
Apikkk,5
Saya ksih biñtañg 5,5
Komunikasi chat paling mudah dan terpercaya,5
"Kontak yg udh di simpan suka ilang sndiri, capek ngesave lagi,bsoknya ilang kontak lagi. Tolong dong bagusin jgn kaya gini",3
Sering kena spam,1
Saya bisa chat teman saya,5
Tidak dapat menerima kode OTP,5
Baguss,4
Kenapa akun whatsapp say tiba2 ke blokir ???,5
Wa saya di blokir terus padahal cuma SPM ke teman p p p😢,1
Tolong perbaiki erorr wanya,1
Sangat cepat dan efektip.,4
"Pengaturan HP dan aplikasi sudah menggunakan bahasa Indonesia tapi saat ingin menghapus pesan pilihannya malah jadi bahasa Inggris, mohon di perbaiki lagi",3
"Knp ya akun saya tiap nmr saya tiap masuk aplikasi habis melakukan chat kog tiba"" saja spam.... Padahal cuma chat biasa.... Dan selalu untuk minta tinjauan trs menerus..... Mohon untuk pencerahannya.....",5
"Jangan keseringan update, memori internal sya udh ga muat",1
Bagus,4
"aku gk ad meta ai, pdhl tmn² aku udh ad meta ai. #whatsapppilihkasih #whatsappbintangsatu",1
Oke,5
Tolong perbaiki WhatsApp Beta. Saya cek di techspot eror semua. Kami masih menggunakan android 2018. 🙏🙏🙏🙏🙏🙏🙏🙏🙏,4
Sangat membantu,5
Wa tidak bisa,2
Knp ya setiap mau masukan video ke cerita pasti gagal,1
Lumayan updatean nya tapi aku gak bisa tagg grup klo bikin status cuma bisa tag orang² aja,4
"Saya kasih 2 bintang dulu, jujur saya suka bangett sama WhatsApp biasa berkomunikasi dengan siapapun, tapi pas ada fitur saluran saya kan buat saluran, saya bagikan keteman saya, karna kalo ad nomor ga di kenal masuk ke saluran kan ga bisa lihat,jujur saya aga sedih karna orang tersebut kasih respon yg negatif semua🥲, saya ga tau salah apa, jadi mohon WhatsApp tambahin fitur kaya di kasih peringatan sama orang yg kasih res negatif, terimakasih 🙏🏻",2
Ty wa,5
wa Saiki dancokkkkkk,1
awas nnti tahun 2030 bayar ni wa,5
Karena harus update terus,4
Tidak bisa di donglwod,5
"Terima kasih whatsaap, semoga lancar terus",3
Ok,5
Sangat membantu,5
bagus sekali..,4
Whtssap,1
Good,5
Sangat bagussss,4
saya suka,5
SERING KENON TIAP NEBAR DATA PENTING,1
Whatsapp bagus,5
Pip gak ada nyesel,1
Gokil,5
aplikasi jelek.selalu berhenti terus-menerus padahal gak ada kenapa-kenapa.kira2 kenapa ya?,1
sangat baik,5
trimakazih bagus bnget,5
Prospek nya bagus,5
Aplikasi ini sangat bagus sekali,5
Ko ga bisa masuk dgn no HP she Emang Lama tak menggunakan wa Tolong beritahu ....,5
Minta kode OTP susah,1
Good,5
apl berbasis komunita petetas akun,5
Mntap,2
WhatsApp sekarang gampang ke banned padahal kita kurir chat ybs di sangka spam parah,2
Dua tiga empat 77i mohon maaf ini saya sudah ratusan kali instal watsap tapi gak respon katanya aplikasi ini rusak dan nomor ponsel saya dua x ganti katanya nmor WA saya belum di revakuasi kok gitu ya mohon bantuan,5
gak bisa tag gc,1
sangat bagus,5
Kecawa WhatsApp aplikasi meneriman SMS kode sandi tolong bererbaiki bakasi,2
Dengan adanya whatsapp messenger ini sangat membantu sekali untuk berkomunikasi trimakasi,5
"seru sehari"" di pakai",5
Resolusi video sebelum di upload status : 1080p Resolusi video sesudah di upload status : 360p,4
Bagus,5
Akun aku kok Spam sendiri padalah aku gak spam kok,1
Tidak bisa terbuka Aplikasi WA,3
Baik,5
Sangat bagus,5
WhatsApp GK jelas,2
Adanya whatsApp.ini sangat membantu untuk komunikasi.kami dengan orang lain.,3
Bagus,5
Bagus,5
Beyar cepat,5
Mantap,5
Whatsapp saya kena spam aja nomor mungkin di gunakan orang lain mohon di perhatikan wasaapp saya kena spam aja,5
Video call atau telpon selalu mati sendiri tidak tau sebabnya karena apa jadi saya akan beri bintang 2 mohon diperbaiki,2
Kak kok susah untuk kirim pesan,5
bagus apk nya tapi punya saya belum ada tema yng biru bink kaya orang orang nya padahal udah di update gimna yah biar ada tema gitu nyaa????,4
Baik,5
𝒌𝒆𝒏𝒂𝒑𝒂 𝒈𝒂 𝒃𝒊𝒔𝒂 𝒅𝒊 𝒃𝒖𝒌𝒂 𝒚𝒂 𝒎𝒊𝒏.?,1
Sukasekali,5
Ok,5
bagus,5
Ganteng,5
Baik,1
etdah uda di update berkali kali tapi klo vc trs mau sambil bales chat tetep aja vidio terjeda😔,3
"Pokoknya, nice fully. Mantap deh y",5
😘,5
Sangat bagus,5
Aplikasi bagus,5
Videocall bikin lemot,1
Lumayan,4
Hp Oppo A31 tidak bisa menggunakan WhatsApp,4
Sangat bagus,5
"Kok gk bisa kamera depan sama belakang terus kameranya juga blur gk kyk biasanya sih, mohon di perbaiki",2
Samsung good,5
Mantap,5
Wa saya tidak bisa masuk ke nomornya,1
WhatsApp saya kok belum di perbarui?,5
"Jelek skrg, kirim foto aja gak bisa.",1
Gabus,5
Berfaedah bila dimanfaatkan untuk menyebarkan kebaikan.,5
Sangat membantu trimahkasih semoga lbh baik tp tlong perbaiki bug.,5
Whatsapp saat ini tidak bisa di buka atau error,5
.bagus,5
durasi sw nya panjangin lagi kalo bisa,4
Bagus,5
kenapa tidak bisa telfon dan vc saat menggunakan wifii?!?!??!?!?!?!?,1
