review,sentimen
wa blokir kerja kurir terganggu plis kena spam solusinya kepentingan kerja hadeh,netral
wa kena spam,netral
bagus,positif
oke,netral
your audio chat feature is very annoying in whatsapp groups please just get rid of it,netral
peduli pake watshap,netral
aplikasi wesap baiknya melanggar aturan ber laku,netral
saran wa perbaharui fturny kalo memanggil teman2 digrup yg isi ny puluhan orangharus ng nama 1 1 capeekalo fb tinggal ketik sorotan orang terpanggil orang dlm grup,netral
oakaay,netral
,netral
force close samsung tab s9 pairing,netral
update wa 2 walpaper mode gelap terang beda fotonya diupdate mode terang gelapnya gabisa 2 walpaper tetep 1 walpaper diwa bussiness 2 walpaper 2 mode kalo fiks hapus komennya,netral
aplikasi bagus,positif
eror,netral
ok,netral
pengalamane nyong aplikasine ngawur aplikasi palsu ya bro jajal verifikasi 2 langkah diaktifna bahasane nyong kowek medok ya login malumaluin,netral
ybagus,positif
ok,netral
gabisa update,netral
story wa ga berurutan kaya bingung,netral
bagus,positif
unduh foto vidio voicenote lihat status mohon cepat diperbaikii dongg kerja susah klo kaya ginii,netral
semoga kedepannya perbaruan ngedit latar chat whatsapp ya mimin,netral
mohon bantuannya upload story gabisaada tulisan wathsapp menanggapi ya mohonn bantuannya wathsapp,netral
komonikasi opsional,netral
bagus,positif
terbaiklah,positif
bagus,positif
mantap,positif
,netral
mantap aplikasi,positif
kerja,netral
its oke,netral
terbakar,netral
knp nih watsap eror gini gk bsa perbaiki eror gini,netral
aman aja,netral
ok,netral
nya pake paketan,netral
mantaf,netral
ga instal watsapnya gimana min solusinya,netral
siada hatima,netral
yg heppyy aja bro,netral
aplikasi nya berguna berkomunikasi orang,netral
oke,netral
kagak wanya,netral
bintang 4 wa ku gabisa tag grup tolong whatsapp nya tag grup tpi ga,netral
top,netral
kamera ngebug tida pakai terkadang stiker tida pencet 3,netral
kasih bintang 4 lelet liat perkembangannya,netral
wa telponan koneksi stabil jelek banget edit update terbaru notifikasi wa hp langsung berat freeze mengganggu problem diperbaiki problem keluhan dibaca,negatif
guru suwasts,netral
membantu,netral
baguss wa nya makasih,positif
tlong kk aplikasi washp gak donwlod solisi ny kk,netral
kna spam alasany,netral
ok,netral
kode lambat,netral
,netral
thanks you,netral
knapa wa spam,netral
bagus,positif
aplikasi nya bagus berkomunikasi baiktetapi pemblokiran akun whatsapp tolong perbaiki whatsapp terimakasih,positif
kualitas gambar video burik tolonggg laaahhh,netral
bagus,positif
klau call trus recconecting auto ketutup callnya,netral
mantap gotub,positif
keren,netral
ok,netral
tolong buka whatsapp blokir,netral
senang,positif
ok,netral
pas masukkin vidio sw status wa ngga hd ya pdhl udah hd in cmn pas masuk sw burem gtu plis perbaiki plis mendingan emoji yg kalo cmn 1 nggak pake bubble nyaa usahakan ganti yh,netral
ok,netral
tolong fitur saluran kirim gambar foto video tolong simpan loh tolong wa perbaiki sistem nya gambar video kirim saluran buatan simpan orang privasi,netral
bagus,positif
membantu info jarak,netral
mantap bosku,positif
mendukung berguna,netral
bagus,positif
nice app,netral
punyaku blm update knapa,netral
cok,netral
ga kewalahan sihh,netral
puas,positif
mntap,netral
bagus,positif
mantaapp,netral
good,netral
pengguna watsapp menggangu fitur status kirim video foto blur video foto nya hd jernih yg bagus bagus story yg mohon perbaiki min,positif
whatapp luarbiasa mantap,positif
matul,netral
tdk sempurna,netral
pengguna nyaman karna whatsapp terblokir karna spam menyepam,netral
ok baikk,netral
whatsap,netral
oke,netral
ya wa gak buka kamera,netral
ga ngirimin,netral
bagus,positif
versinya beda gw kaga buble cat,netral
bagus,positif
ok,netral
bagus,positif
apk gimana sih 5 udah kadaluarsa updet,netral
mantap,positif
membantu,netral
suka,netral
fitur liatnya hapus gak,netral
terbaik,positif
halo admin whatsappsaya mohon buka akun whatsapp spamsaat akun whatsapp retas orang bertanggung pelanggaran mohon membuka akun terimakasih,netral
bagus banget,positif
settingan mkin terintegrasi dg fb ig,netral
gabisa foto,netral
memuaskan,netral
siipl,netral
mesti kena spam wa nya ga wa nunggu 4 5 udh pulih whatsapp nya,netral
ok,netral
bagus banget,positif
simple and fast,netral
bagus ringan semoga bertambah fitur fitur,positif
bagus sekai,positif
bagus,positif
ok,netral
mantap,positif
,netral
tambahin apinya dongg biar betah main wa,netral
bagusss,positif
yayan ira,netral
keren membantu,netral
udah bagus ya meta ai ngga dibuka loadingnya lohh lamaaaaaaaaaaaaaa hp aja gini,positif
apikkk,netral
ksih bitag 5,netral
komunikasi chat mudah terpercaya,netral
kontak yg udh simpan suka ilang sndiri capek ngesave lagibsoknya ilang kontak tolong bagusin jgn kaya gini,positif
kena spam,netral
chat teman,netral
menerima kode otp,netral
baguss,positif
akun whatsapp say tiba2 blokir,netral
wa blokir spm teman p p p,netral
tolong perbaiki erorr wanya,netral
cepat efektip,netral
pengaturan hp aplikasi bahasa indonesia menghapus pesan pilihannya bahasa inggris mohon perbaiki,netral
knp ya akun nmr masuk aplikasi habis chat kog spam chat tinjauan trs menerus mohon pencerahannya,netral
keseringan update memori internal sya udh ga muat,netral
bagus,positif
gk ad meta ai pdhl tmn udh ad meta ai whatsapppilihkasih whatsappbintangsatu,netral
oke,netral
tolong perbaiki whatsapp beta cek techspot eror android 2018,netral
membantu,netral
wa,netral
knp ya masukan video cerita gagal,netral
lumayan updatean nya gak tagg grup klo bikin status tag orang aja,netral
kasih 2 bintang jujur suka bangett whatsapp berkomunikasi pas fitur saluran saluran bagikan keteman karna kalo ad nomor ga kenal masuk saluran ga lihatjujur aga sedih karna orang kasih respon yg negatif ga tau salah mohon whatsapp tambahin fitur kaya kasih peringatan orang yg kasih res negatif terimakasih,netral
ty wa,netral
wa saiki dancokkkkkk,netral
awas nnti 2030 bayar ni wa,netral
update,netral
donglwod,netral
terima kasih whatsaap semoga lancar,netral
ok,netral
membantu,netral
bagus,positif
whtssap,netral
good,netral
bagussss,positif
suka,netral
kenon nebar data,netral
whatsapp bagus,positif
pip gak nyesel,netral
gokil,netral
aplikasi jelekselalu berhenti terusmenerus gak kenapakenapakira2 ya,negatif
,netral
trimakazih bagus bnget,positif
prospek nya bagus,positif
aplikasi bagus,positif
ko ga masuk dgn no hp she emang wa tolong beritahu,netral
kode otp susah,netral
good,netral
apl berbasis komunita petetas akun,netral
mntap,netral
whatsapp gampang banned kurir chat ybs sangka spam parah,negatif
77i mohon maaf ratusan kali instal watsap gak respon aplikasi rusak nomor ponsel x ganti nmor wa revakuasi gitu ya mohon bantuan,netral
gak tag gc,netral
bagus,positif
kecawa whatsapp aplikasi meneriman sms kode sandi tolong bererbaiki bakasi,netral
whatsapp messenger membantu berkomunikasi trimakasi,netral
seru sehari pakai,netral
resolusi video upload status 1080p resolusi video upload status 360p,netral
bagus,positif
akun spam padalah gak spam,netral
terbuka aplikasi wa,netral
,netral
bagus,positif
whatsapp gk,netral
whatsappini membantu komunikasikami orang,netral
bagus,positif
bagus,positif
beyar cepat,netral
mantap,positif
whatsapp kena spam aja nomor orang mohon perhatikan wasaapp kena spam aja,netral
video call telpon mati tau bintang 2 mohon diperbaiki,netral
kak susah kirim pesan,netral
bagus apk nya tema yng biru bink kaya orang orang nya udah update gimna yah biar tema gitu nyaa,positif
,netral
,netral
sukasekali,netral
ok,netral
bagus,positif
ganteng,netral
,netral
etdah uda update berkali kali klo vc trs bales chat tetep aja vidio terjeda,netral
pokoknya nice fully mantap deh y,positif
,netral
bagus,positif
aplikasi bagus,positif
videocall bikin lemot,netral
lumayan,netral
hp oppo a31 whatsapp,netral
bagus,positif
gk kamera kameranya blur gk kyk sih mohon perbaiki,netral
samsung good,netral
mantap,positif
wa masuk nomornya,netral
whatsapp perbarui,netral
jelek skrg kirim foto aja gak,negatif
gabus,netral
berfaedah dimanfaatkan menyebarkan kebaikan,netral
membantu trimahkasih semoga lbh tp tlong perbaiki bug,netral
whatsapp buka error,netral
bagus,positif
durasi sw nya panjangin kalo,netral
bagus,positif
telfon vc wifii,netral
sy udah update tpi ga filter pas videocall nya,netral
lemot,netral
update wa sttus tmn2 wa gk berurutan wkt terbaru acak org yg jarang sya hubungi muncul yg aktif sttus y muncul mohon kembalikan sttus ky dlu lg wa wkt berurutan,netral
aplikasi kebutuban pribadi,netral
terbaik,positif
bagus,positif
bagusss,positif
bagus,positif
membantu utk kegiatan harian,netral
mudah nya jg gampang,netral
whatsapp eror resmi,netral
ok,netral
berkomunikasi,netral
suka,netral
bagus bgttt ya,positif
ok,netral
bagus,positif
jelek eror mulu,negatif
,netral
update kali gooddd bangett,netral
bagus,positif
suka,netral
terimakasih,netral
mantap,positif
update gak,netral
,netral
oke,netral
harap tambahkan fitur mengupload foto story wa fiturnya menimpa foto foto menghapus objek saran whatsapp mengembangkan aplikasi nya,netral
gak request whatsapp versi lite versi berat hp ku lowerend aplikasi force stop thanks,netral
terimakasih,netral
ok,netral
donlot susah bngt,netral
ny berkomunikasi,netral
mohon diaktif,netral
memuaskan,netral
memuaskan,netral
updeat bug foto profil lol,netral
mantap membantu,positif
bagus,positif
gabisa updat,netral
ga kirim foto nunggu video gitu stiker ajaa gabisa kekirim aneh,netral
bagus,positif
wa nya kena bug tolol minimal tuh yg bug kena ban,netral
kena spam no ngirim chat langsung kena spam apaapain whatsapp,netral
apalah fitur nya gak penyebutan khusus grup,netral
kesini burik kalo upload story,netral
semoga aman terkendali,netral
bagus layanan,positif
keren banget nelpon ngebet pokoknya keren banget,netral
bagus si blokir trus,positif
masuk akun,netral
bagus,positif
tema chat default,netral
bagus,positif
ok,netral
ser lokasi terkini nya buruk open wa,negatif
spam pdhal paruh kurir bgtu pdhal zaman skrng ga yg namanya org ga whatsapp,netral
rentan kena blok,netral
oke,netral
bagus,positif
gak bikin sw ya trus aplikasi wa nya kaya aplikasi wa gb gitu hp,netral
the best app,netral
mantap,positif
assalamualaikum min wa kena blok nya ngak pelanggaran apapunmohon dibantu ya,netral
bagus,positif
suka whatsapp tapii tolong update theme nya dung sedih bgt karna punyaku blm ganti theme plisss,netral
,netral
membantu,netral
akun dipakek pick ketiga bertanggung akun do spam,netral
whatsapp bagus end debes,positif
good,netral
,netral
washap bagus,positif
ok,netral
chat default,netral
seminggu spam diberitahu penyebabnya ferivikasi blm,netral
bagus,positif
download bosss,netral
bagus,positif
mantap,positif
halo tim whatsapp whatsapp versi terbaru akun whatsapp muncul fitur efek panggilan video fitur whatsapp video call efek filter semoga akun cepat muncul,netral
gak download aplikasi,netral
turunin mb nya dari51 ke32,netral
mantap nih,positif
ok,netral
emang bagus ya bagus suka hilang sendiriini apps sih,positif
ok,netral
gajelas benget wa ngecet dikit langsung keband ga aneh aneh,netral
apk nya bagus cuman ya post videofoto ngeblur gitu gak gitu mohon perbaikannya videofoto dipost distory wa kualitasnya hd,positif
suka whatsapp berguna banget loh mengirimkan vidio teman,netral
bagus,positif
akun nya gampang blokir ambil susah banget tolong ya min whatsapp perbaikin aplikasi nyaplis tinjau akun ku kenbali plis min whatsappterima kasihv,netral
tolong whatsapp gak nerima pesan ya udah update mohon perbaiki,netral
wa ku mati ya tolong sambungkan wa ku sanuri,netral
aplikasi bagus,positif
udah update meta ai,netral
whatsapp memperbaiki sistem deteksi spamnya akun diblokir alasan whatsapp keperluan jual beli akun game mengirim spam aplikasi ketiga mengikuti kebijakan whatsapp tolong tinjau ulang sistem merugikan pengguna bersalah,netral
langsung kena peringatan spam cm ngirim 15foto temen ku sarannya gimana nunggu peninjauan 24 jam gimana inii,netral
akun diliblokirkarena spam gk spam,netral
kenap whatsapp eror kadang chat centang 1 sama2 aktif wanya ya aneh banget,netral
nggk ngirim fto atay video,netral
bug terkena spam,netral
ok,netral
mantab,netral
siiiiiiiplah,netral
berkomunikasi orang mengechat kali gabut kontak kalo bosan cuman doang grup ok segitu aja semoga bermanfaat ya,netral
bagus,positif
ok,netral
baguslah,positif
mohon bantuannya wa disalahgunakan orang bertanggung butuh data arsip pekerjaan dinas mohon pulihkan whatsapp tdk mengakses whatsapp,netral
knapa pasang hp elor,netral
bagus,positif
aplikasi bagus,positif
kali bug membuka status hitam transparant nyaman,netral
aplikasi nya bagus,positif
ok,netral
wa tolong update wa ngirim makanan bnyk yg suka,netral
tolong tambahkan vitur orang pls lingkaran orang nya,netral
whsap bagus,positif
login wa tolong dibenerin ya wa,netral
mantap pokoknya,positif
,netral
bagus,positif
tolong media foto vidio galeri hd pas posting wa jdi buriq klo batas kualitas bkn cma opsi aja,netral
bagus,positif
ihh gamau ih stiker nya ko gede,netral
keren,netral
disa bongel wa,netral
,netral
suka apk sagat memabantu sehar,netral
bagus,positif
main gem nya seru,netral
wasaap download minggu sms wasaap kadaluarsa suka wasaap minggu kiriman wasaap kadaluarsa wasaap,netral
wa susah buagetbnyk pengaturannya,netral
butuh nambah fitur pesan terjadwal please,netral
gimana whatsapp gaada spam apapun block tolong dongg,netral
trimah kasih,netral
terimakasih administration iklan mengganggu aktivitas says pake kode keamanan,netral
yoklumayan,netral
bugdan kenon,netral
good,netral
bagus bangettt,positif
ga apdet status,netral
good best,netral
good,netral
bagus tp ga dibuka,positif
bgus,netral
bagusss,positif
bgus,netral
efektif mengubungi teman,netral
update biar fitur typing indicator,netral
keren,netral
bagus,positif
tolong limit mb up status whatsapp naikin limit 2030 mb,netral
good,netral
good,netral
spam,netral
ok,netral
bagus banget rek fiturnya yg update intinya bgus la bagus ya bagus iya bagus bagus ege ala sia,positif
ive updated but i havent gotten all the updates yet ill give a few stars first if i get it ill give a star,netral
baikkkkkk banget cihuyyyy,netral
suka,netral
bagus,positif
lumayan bagus,positif
udaaa baguss mb nya tolong diturunkan sedikitt,positif
bagus whatsapp,positif
mantap,positif
bagus,positif
nomer ga daftar ya apk resmi diperingati apk resmi tolong gmna biar,netral
top,netral
hadeh share live gabisa mulu udah reset jaringan berkali kali tetep aja gabisa,netral
mantap sukses,positif
bug leeee,netral
sanggat bagusdan berguna,positif
kapal,netral
,netral
baguss,positif
bagus banget apk nya berkomunikasi orang orang kadangan org yg ngehack apk gpp yg berkomunikasi makasihhh aplikasinyaa ya minn,positif
bagus,positif
lemot,netral
qplikasi berguna memudahkan penggunannya,netral
bagus berkomunikasi kasi,positif
kecewa aplikasi whatsappselalu kena spam pakai aplikasi whatsapp resmibisa spam akun whatsapp sayasoalnya udah bosan login dipakai chat telfon kena spam lagiblokir mohon ya aplikasi nya diatur ulang kedepannya biar,negatif
,netral
plis ga sabaran dikit kalo memo penuh langsung hapus smua chat gtu gmna kalo coba sumpah kit ati bangett kecewa banget dah gua mmk,negatif
suka lag gabisa buka,netral
membatu,netral
bagus apk nya suka,positif
kocag telp mati,netral
iya,netral
terimakasih,netral
,netral
ok,netral
update bagus,positif
kecewa,negatif
,netral
update wa fersi terbaru hp gua engga masuk apk wa,netral
udah bagus banget knp 3 riset wanya,positif
whatsapp,netral
ter,netral
bguss,netral
bagus,positif
kasi bintang 1 karna skrng wa nya gampang banget kena blokirspam jdi susah pakai grub langsung kena spam hadehhhsaya mohon ntar update biar ga gampang kena spam 1 kena spam 4 kali,netral
bagus,positif
puas whanmtsapp masseges,positif
hi whatsapp to be honest your application is quite good but there are still some shortcomingswhy do your applications often error and delete the chats that i have its really annoying those messages were all important i really needed them but you guys just lost them that is unacceptable i hope you can return those messages to me and improve the quality of this application,netral
bagus,positif
hapus nya kog bahasa inggris,netral
ok,netral
bagus versi status video pilihan hd status lumayan status video pilihan hd jelek banget semoga cepat perbaiki,positif
ksih star 2 alesannya simple 1 ilangin fitur chat terkunci ajasebab bnyak kali gara bnyk dibohongin percintaan,netral
biar bintang ajh yank bicara,netral
sorry bintang 5 bintang 1 karna tibatiba whatsapp log out terblokiryang 1 alasannya whatsapp resmi jelasjelas pakai whatsapp resmi nunggu 24 jam selesai menit log out alasan akun spam ga ngapangapain whatsapp cuman kerja gabisa log in 24 jam nunggu kali jujur kecewasudah mengirim email tanggapanmakin kesini whatsapp bobrok respon,negatif
kg donlod gj penyimpanannn gw msi bnya pdhl,netral
membantu,netral
good,netral
good,netral
wa ter blokir kesalahan apapun,netral
buka,netral
bagus banget,positif
whatsapp sngat bgus krna chatnya diubah warna yg suka tpi nggak yaa wrna chatx gradasi bgus bnget,netral
whatsapp emang mantap bagus,positif
baguss polll,positif
gimana yah pas kirim foto kirim vidio kirim vn story wa ko gabisa sih gimana si ga bgt de,netral
eror plis bikin sw vidio gk bisabuka vidio kiriman gk macem,netral
aplikasi update,netral
bagus si,positif
bagus,positif
,netral
whatsapp bagus good bikin kesel apapun spam kirim poto 18 blok permanen,positif
yg iseng ngirim bug wayass data kehapuss dll suda sabar,netral
baguss suka banget download sihh,positif
kak kalo beranda whatsapp messenger nya ubah ubah tema,netral
oke,netral
karna meta ai adil,netral
bagus males ngetik gua,positif
okee,netral
nomor kontak yg hilang jd terhubung lg kawan,netral
bagus banget perangkat whatsapp,positif
pakai orang persetujuan,netral
mantap,positif
mantap,positif
halo admin whatsapp sayadi blokir karna alasan spam spam chat nyimak aja tuh chat doang ga ga chat tolong buka blokir nya nya,netral
manatap,netral
bagus,positif
,netral
tolong fitur thema whatsapp update fitur thema whatsapp,netral
watsap ku hilang,netral
good,netral
mantap,positif
mantap men,positif
whatsapp kena spamm gimana mengatasi nya,netral
maps eror,netral
mantap,positif
kadang eror suka gak share lock mengunduh gamabr kadang gak mengunggah foto video status hasilnya burik 1 lagih tamabahin border foto profil biar aesthetic,netral
ok,netral
bagus,positif
ok,netral
bagus,positif
ya hp wa menghilang penyebabnya memulihkannya terimakasih,netral
nmr login wa ganti nmr 10 kali wa resmi wa nya resmi tolong perbaiki terimakasih,netral
muantap pokonya,netral
oke banget ya,netral
nomer kena spam ya kalo jam 4 sore,netral
,netral
bacot,netral
bagus,positif
mantap,positif
kesinih ribet whatssap versi bawan download tpi bacan nya download whatssap,netral
apk ny bagus bnget,positif
update halhal berguna saluran dll hny memo penuh saran saluran wa terpisahaplikasi hny apk wa ukurannya buang ruang sja,netral
bgs mantapppp,positif
ok,netral
bermanfaat,netral
payah masuk,negatif
keren,netral
alah apalah wa skrg ko gajelas kiri poto vdio kadang eror apalah,netral
keren,netral
login,netral
aplikasi terblokir tolong solusinya gimana mengganggu tidk pelanggaran,netral
bagus,positif
,netral
maksudmu si hei game yutup open apk iklan woe,netral
suka aplikasi whatsapp,netral
jelek,negatif
keren,netral
update story burem bngt hp ku yg jelek gimana ya,negatif
suka dgn aplikasi,netral
saran whatsapp grup jabatan admin owner jabatan tertinggi grup dibawahnya jabatan hehe,netral
ruuuuaaarrr biasaa,netral
bagus,positif
mantab habis,netral
,netral
puas,positif
pake verifikasi trusss,netral
suka update whatsapp,netral
menganti no langsung masuk karna spam spam aj ganti no,netral
ak bagus 1 cemas nya update ni wa udah update yah kalo udah update gak vitur oh iya wa buah kalo update nya kayakkk hapuss wa nya hedeh,positif
bagus banget sii,positif
aplikasi tadiaplikasi ilegalwhastap ga masuk,netral
ya bentar bentar perbaharuisudah kadaluarsa lahseperti makanan sajajadi ga nyaman,netral
berkomunikasi orang,netral
video call gambar layar bergerak kamera ponsel posisi diam,netral
wa gua ngebug mulu astaga status whatsapp nya yg diliat kebalik pas mencet kontak orang chat kontak orang pls fix this bug dawg,netral
permisi min nanya ya teman sw 23 menit jam 1531 nya pas diliat liat jam 1431 beda jam ngatasinnya gimana ya min tolong bantuan nya,netral
bagus banget,positif
ga kirim ft,netral
akun susah,netral
sih kaya gitu gini bagus jelek,positif
bertemu semoga bagus aplikasi ny,positif
masuk mohon bantu trimakasih,netral
,netral
bagus sih aplikasinya sayang aplud story gak,positif
sumpah bagus banget chatan gaada ngalahin whatsapp suka chatan kawan makasih bikin aplikasi inii,positif
knp yh hbs diupdate gbisa dibuka kaya keriset sumpah gimana yah whatsapp tolong segerah diperbaiki tolong banget whatsapp tolong buka wa,netral
oke,netral
sanggat meyakitkan,netral
bagus membantu bos pokonya oke,positif
,netral
akun sya,netral
whatsaap membantu berinteraksi berkomunikasi,netral
bagus,positif
akun whatsapp tibatiba blokir kerena spam mematuhinya ketentuan layanan whatsapp mohon tinjau akun mohon selesaikan terimakasih,netral
hello whatsapp team i am a manager at twitter and i have a complaint about my whatsapp account where my whatsapp account has been illegally blocked after i created a group i have been using the whatsapp application for a long time already from 2015 and have quite understood the terms of service provided by whatsapp therefore i dont feel that i made a mistake or violation that violates whatsapps terms of service so if the whatsapp team allows my account to be restored and can be used again,netral
bagus,positif
bismilah ngeter grup,netral
ok,netral
bagus sih knp klo bikin sw vidio layar nya hijau tolong,positif
berguna banget whasapp alhamdulilah whatsapp chat keluarga,netral
kerjaan gw chat cust 50 kontak nya gk bermaslah eh terblok permanen beli kartu spam 10 kontak langsung blok emang bermasalah ni apk gk,netral
hebat,netral
fitur membantu banget terimakasi whatsapp fitur,netral
whatsapp ga mengganggu pekerjaan orang laingampang blokir aneh,netral
membantu,netral
mantap,positif
aplikasi whatsapp d buka udh download berkali2 ttp d buka iya buka,netral
kasih 1 bintang whatsapp ya spam udh ganti nomor aja mohon bantuannya ya ya kasihan loh kalo kepentingan sekian terima kasih,netral
,netral
kali blok spam ganti no hape blok verifikasi loh masuk langsung blok nunggu 24 jam verifikasi blok blok 3 detik membuka whatsapp langsung blok memverifikasi whatsapp nya muncul notifikasi akun terdaftar,netral
akun blokir alasan spam spammer,netral
suka updatean terbaru,netral
memuaskan,netral
bagus bgt tpi blom fitur filter vc,positif
buruk,negatif
nyamankenapa ko story foto wa foto digaleriku hapuskirain penyimpanannya penuhtapi story wa kirim foto kontak lainsemenjak 28 februarimudah mudahan membaik,netral
ga vidio lihat foto lihat,netral
oke,netral
tolong bikin story turunin resolusi,netral
5 bintang,netral
aplikasi taekkk,netral
whatsapp nya keren ajh vc pake efek cantik,netral
bagus,positif
unbloking me pliss,netral
,netral
keren,netral
bgus ngobrol hihihi,netral
wa menyenangkan,netral
,netral
mantap,positif
jarang wa tp kena spam minggu,netral
oke,netral
punyaku gak efek nya,netral
mantap,positif
menginstal wa,netral
ok,netral
oky,netral
kena blokir yah wa aneh banget,netral
go visa upgread susah,netral
oh,netral
nggak bukak,netral
please repair the apps when someone posting any videos is always blurred and bad videos upload in story even using hd video still looks like blurred,netral
muhtarom,netral
nice,netral
update terbaru tolong donk gw update nya,netral
terimakasih semoga mudah utk download aplikasi,netral
wa saye kmbali lg syakarna kmrin wa sye hilang ga tau syp yg pke wa sya,netral
loading bro ah,netral
tolong gimana yg salah yg udah update jugaa udah bgtt,netral
,netral
bagus jdi bisakomunikasi,positif
aplikasinya bagus,positif
oi nomor gx didaftarkan,netral
,netral
pengguna whatsapp kecewa berbuat akun kena blokir tampa alasan mohon admin whatsapp tindak lanjutin nomer nomer pekerjaan dimohon cepat tindak kecewaan pengguna,negatif
bagus skli,positif
knp wa kali terkena spam cet gak spam cet sma tru akum kli kena spam besok pulih trs berapah detik langsung kena spam knp yah tolong kasih tau,netral
fitur music nya,netral
bolak balekk kenakk spammm lucuuu wanyaa memuakkann hebohkan gila spam whatsapp udah ikuti layanan whatsapp sumpahh gak,netral
wa bug temen ngirim vd 1 lihat gabisa buka ngirim pesan ga kekirim kirim jaringan bagus semoga aja kedepannya diperbaiki,positif
bagus,positif
wa pake efek filter vidio call,netral
gk tema default nya ya temen temen ku,netral
bantu whatsapp curi,netral
bagus,positif
mantaf,netral
good,netral
min ya bagus hp nya tag grub,positif
download gagal,netral
baguss whatsapp nya,positif
status orang keluarga menelpon orang video coll kah eror,netral
cakepp bgtt,netral
bagus,positif
good,netral
the best,netral
bagus bangettkalau bisaupdate siaran langsung saluran wa,positif
ok,netral
pencadangan riwayat chat pulih jelek bgt whatsapp memperbarui fitur aja perhatikan data pengguna,negatif
whatsapp update bagus tambahan fitur ga perkirakan fitur berguna terkadang update bug berat penyimpanan hp,positif
mendukung,netral
ko gaada warna temannya sieeeehhhhhh,netral
kecewa watsap sepam akun mlakuakan kesalahan apa2dan berkali2 mengganggu pengguna watsapp,negatif
ga dapet ai gw,netral
update gak meta al,netral
bagus banget gaada tema chat deafullt,positif
resmi,netral
knp skarang bug nya sih pls perbaiki saluran 4 pesannya gabisa terkirim smua ngatasinnya gimana kalo uda gitu,netral
mantaap,netral
ga banget suer udah update ga masuk rating 1,netral
bagus,positif
sy senang whatsapp,positif
whatsapp keren lumayan,netral
is good,netral
mantap,positif
pengalam ku seneng banget tp kelemahan nya wa ku usik orang gk ngasih rating uangku terambil orang no wa ku dibajak pesuruhan orang berujung ditolong siber masyarakat bengong kejadian,netral
banned alasan,netral
good like,netral
oke,netral
bagus membantu,positif
seru berbisnis,netral
mantap,positif
aplikasi nya bagus ngechat temen orang tua kepentingan,positif
,netral
,netral
good,netral
lumayan,netral
okk,netral
aneh wa orang gk ngpain ban mulu gakjelas bnget,netral
baguuus,netral
bagus,positif
enak berinteraksi,netral
whatsapp jelem nomor berkali kali blokir alasan spam spam melanggar ketentuan kebijakan whatsapp merepotkan,netral
ok,netral
mantebss,netral
wa sw global kpn muncul nya,netral
,netral
wa tolong na wa ku ga tema chat nya ganti warna pink apk adil temen ku ga udah update loh ga adil kasi bintang 1 loh apk ga adil puasa loh min bikin darah pengen wa nya kiyowoo kiyowoo trus ga chat ai tolong na benerin ku kasi bintang 1 ya,positif
terbaik,positif
filter g muncul pas vc,netral
ok,netral
bagus,positif
bintang,netral
bagus,positif
ga kirim saluran bugg,netral
nice,netral
eror,netral
sngat baguss,positif
whatsapp gampang ngeblokir akun orang mengikuti ketentuan tolong diblokir,netral
aplikasi whatsapp nya bagus suka,positif
good,netral
makasih whatsapp mudah mengobrol langsung ketemuan,netral
terimakasih whatsapp messenger kau membantu berkomunikasi semoga kau teman setiaku teman curhatku teman bersilaturahmi whatsapp messenger,netral
baguss,positif
wa ngk verevikasi,netral
si wa skrng klo manggil panggilan gagal mlu,netral
error logout,netral
alhamdulillah bermanfaat wanya,netral
bagus,positif
menakjubkan,netral
whatsapp emang bagus ngimong orang vidio call telponan chat chat an senang whatsapp berguna ku,positif
bagustpi tingkat lgi ya,positif
bagus,positif
,netral
baguss membatu coooo,positif
oke,netral
suka,netral
bagus,positif
aplikasi wa meta ai nya,netral
mengubah aktif watsapp,netral
kirim pesan kontak gangguan gangguan nya tanda jam menerus,netral
baguss,positif
bagus,positif
okesih,netral
ok,netral
kalo vctrus buka rom chtapkikas ga nimbul layar vc ny,netral
udh up ga fitur terbaru wa ya contoh nya pakai filter vc,netral
wa menarik,netral
download ya,netral
bagus berkomunikasi orang berpergian ketempat wisata lainya,positif
,netral
aplikasi seru bertelfonan teman,netral
tg sw grup loding,netral
bagis,netral
tlp lancarvc lancartapi blm perogram whatsapp beta ganti tema chat deafalut,netral
bagus apk berguna komunikasi orang yg,positif
bagus,positif
akses kamera bagus versi tap,positif
bersyukur,netral
bagus,positif
habis update gabisa liat video liat ya tolong perbaiki min ku hpnya yg eror sampe2 hp restart pabrik tetep gabisa liat video liat,netral
aplikasi tai bug wa,netral
update gk bener error,netral
memuaskan,netral
mantap,positif
hilangkan fitur foto skali liat,netral
baguss,positif
terima kasih berbagi,netral
sya puas guanakan aplikasi watsap,positif
,netral
bguss bangett klo berkomunikasi teman kerabat,netral
bagusss,positif
gue suka banget whatsapp messenger,netral
baguss aplikasi,positif
wa video call satunya muncul gambar satunya gak muncul gambar nya,netral
bagus,positif
membutuhkan,netral
kehilangan riwayat chat whatsapp eror,netral
wa ku pink meta al,netral
keren,netral
ok,netral
bagus banget,positif
bagus,positif
uda update kali fitur ai nya blom kebagian jga,netral
fitur fitur nya keren,netral
mudah keren,netral
membantu,netral
whatsapp messenger mengechat orang mudah masyarakat indonesia,netral
bgs aj shtp knp wa ku g ad tma default ny y pdhl udh updt br kli2,netral
bagusss,positif
aplikasi tolol gakjelascewe gk perna bls chat assuu,netral
aja diperbahurui,netral
